firstname,lastname,url,party,twitter
Alistair,Carmichael,uk.org.publicwhip/member/2006,LDem,acarmichaelmp
Adam,Afriyie,uk.org.publicwhip/member/1929,Con,AdamAfriyie
Adam,Price,uk.org.publicwhip/member/1485,PC,AdamPriceMP
Alan,Duncan,uk.org.publicwhip/member/1795,Con,AlanDuncanMP
Alison,Seabeck,uk.org.publicwhip/member/1760,Lab,alisonseabeck
Andrew,Gwynne,uk.org.publicwhip/member/1531,Lab,Andrew_GwynneMP
Andrew,George,uk.org.publicwhip/member/1801,LDem,AndrewGeorgeMP
Andrew,Rosindell,uk.org.publicwhip/member/1786,Con,AndrewRosindell
Andy,Reed,uk.org.publicwhip/member/1694,Lab,andyreedmp
Andrew,Slaughter,uk.org.publicwhip/member/1559,Lab,AndySlaughterMP
Anne,Snelgrove,uk.org.publicwhip/member/1866,Lab,annesnelgrovemp
Ann,Keen,uk.org.publicwhip/member/1448,Lab,annkeenmp
Ben,Bradshaw,uk.org.publicwhip/member/1580,Lab,BenBradshawMP
Brian,Iddon,uk.org.publicwhip/member/1432,Lab,brianiddonmp
Celia,Barlow,uk.org.publicwhip/member/1644,Lab,CeliaBarlowMP
David,Chaytor,uk.org.publicwhip/member/1466,Lab,chaytord
Chris,Bryant,uk.org.publicwhip/member/1779,Lab,ChrisBryantMP
Christopher,Huhne,uk.org.publicwhip/member/1565,LDem,ChrisHuhne
Crispin,Blunt,uk.org.publicwhip/member/1778,Con,crispinbluntmp
Danny,Alexander,uk.org.publicwhip/member/1995,LDem,dannyalexander
Dari,Taylor,uk.org.publicwhip/member/1840,Lab,DariTaylorMP
David,Cairns,uk.org.publicwhip/member/1994,Lab,davidcairnsmp
David,Drew,uk.org.publicwhip/member/1850,Lab,DavidDrewMP
David,Evennett,uk.org.publicwhip/member/1408,Con,davidevennett
David,Jones,uk.org.publicwhip/member/1506,Con,davidjonesmp
David,Kidney,uk.org.publicwhip/member/1833,Lab,davidkidney
David,Lammy,uk.org.publicwhip/member/1882,Lab,DavidLammyMP
David,Wright,uk.org.publicwhip/member/1871,Lab,DavidWrightMP
Denis,MacShane,uk.org.publicwhip/member/1790,Lab,DenisMacShane
Shahid,Malik,uk.org.publicwhip/member/1542,Lab,DewsburyMP
Diana,Johnson,uk.org.publicwhip/member/1647,Lab,DianaJohnsonMP
David,Miliband,uk.org.publicwhip/member/1826,Lab,DMiliband
Douglas,Carswell,uk.org.publicwhip/member/1621,Con,DouglasCarswell
Edward,Balls,uk.org.publicwhip/member/1740,Lab,edballsmp
Edward,Davey,uk.org.publicwhip/member/1662,LDem,eddaveymp
Edward,Miliband,uk.org.publicwhip/member/1545,Lab,EdMilibandMP
Edward,Vaizey,uk.org.publicwhip/member/1905,Con,edvaizey
Elliot,Morley,uk.org.publicwhip/member/1805,Lab,elliotmorley
Eric,Joyce,uk.org.publicwhip/member/1983,Lab,ericjoyce
Eric,Pickles,uk.org.publicwhip/member/1449,Con,EricPickles
Frank,Field,uk.org.publicwhip/member/1410,Lab,frankfieldteam
George,Galloway,uk.org.publicwhip/member/1405,Res,georgegalloway
Gillian,Merron,uk.org.publicwhip/member/1686,Lab,GillianMerron
Gisela,Stuart,uk.org.publicwhip/member/1411,Lab,GiselaStuart
Graham,Stuart,uk.org.publicwhip/member/1406,Con,grahamstuart
